filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\089\img001_103_2021-11-04_01-49-21.jpg,img001_103_2021-11-04_01-49-21.jpg,22.095172882080078,4,1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img002_103_2021-11-04_01-49-30.jpg,img002_103_2021-11-04_01-49-30.jpg,1.364280343055725,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img003_103_2021-11-04_01-49-40.jpg,img003_103_2021-11-04_01-49-40.jpg,6.416193008422852,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img004_103_2021-11-04_01-49-49.jpg,img004_103_2021-11-04_01-49-49.jpg,13.494601249694824,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img005_103_2021-11-04_01-49-58.jpg,img005_103_2021-11-04_01-49-58.jpg,43.93730545043945,7,1,-1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img006_103_2021-11-04_01-50-08.jpg,img006_103_2021-11-04_01-50-08.jpg,23.497093200683594,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img007_103_2021-11-04_01-50-17.jpg,img007_103_2021-11-04_01-50-17.jpg,7.576463222503662,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img008_103_2021-11-04_01-50-27.jpg,img008_103_2021-11-04_01-50-27.jpg,11.259270668029785,3,-1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img009_103_2021-11-04_01-50-36.jpg,img009_103_2021-11-04_01-50-36.jpg,27.38397979736328,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img010_103_2021-11-04_01-50-45.jpg,img010_103_2021-11-04_01-50-45.jpg,3.482257127761841,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img011_103_2021-11-04_01-50-55.jpg,img011_103_2021-11-04_01-50-55.jpg,2.8339762687683105,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img012_103_2021-11-04_01-51-04.jpg,img012_103_2021-11-04_01-51-04.jpg,2.8960564136505127,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img013_103_2021-11-04_01-51-13.jpg,img013_103_2021-11-04_01-51-13.jpg,7.899895668029785,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img014_103_2021-11-04_01-51-23.jpg,img014_103_2021-11-04_01-51-23.jpg,6.613779544830322,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img015_103_2021-11-04_01-51-32.jpg,img015_103_2021-11-04_01-51-32.jpg,15.639588356018066,3,-1,-1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img016_103_2021-11-04_01-51-41.jpg,img016_103_2021-11-04_01-51-41.jpg,48.948333740234375,7,-1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img017_103_2021-11-04_01-51-51.jpg,img017_103_2021-11-04_01-51-51.jpg,54.31484603881836,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img018_103_2021-11-04_01-52-00.jpg,img018_103_2021-11-04_01-52-00.jpg,53.31959915161133,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img019_103_2021-11-04_01-52-10.jpg,img019_103_2021-11-04_01-52-10.jpg,42.39739990234375,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img020_103_2021-11-04_01-52-19.jpg,img020_103_2021-11-04_01-52-19.jpg,32.20051574707031,6,-1,-1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img021_103_2021-11-04_01-52-28.jpg,img021_103_2021-11-04_01-52-28.jpg,23.14806365966797,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img022_103_2021-11-04_01-52-38.jpg,img022_103_2021-11-04_01-52-38.jpg,23.97718620300293,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img023_103_2021-11-04_01-52-47.jpg,img023_103_2021-11-04_01-52-47.jpg,47.10223388671875,7,-1,-1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img024_103_2021-11-04_01-52-56.jpg,img024_103_2021-11-04_01-52-56.jpg,25.974288940429688,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img025_103_2021-11-04_01-53-06.jpg,img025_103_2021-11-04_01-53-06.jpg,54.87763595581055,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img026_103_2021-11-04_01-53-15.jpg,img026_103_2021-11-04_01-53-15.jpg,51.53543472290039,7,-1,-1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img027_103_2021-11-04_01-53-24.jpg,img027_103_2021-11-04_01-53-24.jpg,26.232799530029297,4,-1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img028_103_2021-11-04_01-53-34.jpg,img028_103_2021-11-04_01-53-34.jpg,7.340590953826904,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img029_103_2021-11-04_01-53-43.jpg,img029_103_2021-11-04_01-53-43.jpg,7.798745632171631,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img030_103_2021-11-04_01-53-52.jpg,img030_103_2021-11-04_01-53-52.jpg,14.779787063598633,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img031_103_2021-11-04_01-54-02.jpg,img031_103_2021-11-04_01-54-02.jpg,43.97641372680664,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img032_103_2021-11-04_01-54-11.jpg,img032_103_2021-11-04_01-54-11.jpg,3.205003499984741,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img033_103_2021-11-04_01-54-21.jpg,img033_103_2021-11-04_01-54-21.jpg,11.830810546875,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\089\img034_103_2021-11-04_01-54-30.jpg,img034_103_2021-11-04_01-54-30.jpg,44.70956802368164,7,-1,-1,between 42 to 53 mm
